DOI,Title,journal,doc_type,url,authors,Date_Received,Date_Accepted,Date_online,Acceptance_Time,Countries
https://doi.org/10.1016/S0262-4079(20)30930-1,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309301,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30655-2,Q & A,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920306552,John Troyer,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31170-2,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311702,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)31285-9,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312859,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30637-0,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920306370,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)30936-2,Under pressure,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309362,Peter Judge,2020-03-31,2020-07-02,2020-07-23,94 days 00:00:00.000000000,{'Spain'}
https://doi.org/10.1016/S0262-4079(20)30819-8,Maintaining mental health in the time of coronavirus,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920308198,Moya Sarner,2030-12-12,2030-12-12,2030-12-12,,{'Canada'}
https://doi.org/10.1016/S0262-4079(20)31249-5,How to sit,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312495,Herman Pontzer and David Raichlen,2030-12-12,2030-12-12,2030-12-12,,"{'Moldova, Republic of', 'Kenya', 'unknown'}"
https://doi.org/10.1016/S0262-4079(20)30935-0,Kelp is on the way,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920309350,Michael Marshall,2019-09-11,2020-06-10,2020-07-02,274 days 00:00:00.000000000,"{'Australia', 'Ireland'}"
https://doi.org/10.1016/S0262-4079(20)31108-8,"Containing a pandemic, step by step",New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311088,Adam Kucharski,2019-05-04,2019-06-25,2019-06-25,53 days 00:00:00.000000000,{'United States'}
https://doi.org/10.1016/S0262-4079(20)31205-7,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920312057,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
https://doi.org/10.1016/S0262-4079(20)31001-0,Watching your every move,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310010,Sally Adee,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31005-8,VIRUS ON THE BRAIN,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310058,Jessica Hamzelou,2020-04-02,2020-06-26,2020-07-20,86 days 00:00:00.000000000,{'Spain'}
https://doi.org/10.1016/S0262-4079(20)31176-3,The climate fight after coronavirus,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920311763,Adam Vaughan,,,2030-12-12,,
https://doi.org/10.1016/S0262-4079(20)31041-1,Accounting for nature,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920310411,Adam Vaughan,2006-03-08,2006-03-28,2006-03-28,21 days 00:00:00.000000000,{'Australia'}
https://doi.org/10.1016/S0262-4079(20)30594-7,Letters,New Scientist,article,http://www.sciencedirect.com/science/article/pii/S0262407920305947,,2020-03-05,2020-06-25,2020-07-23,113 days 00:00:00.000000000,{'China'}
